mtp,wall_time
7.131764,12382.049254
7.998597,12396.91704
6.407179,12412.866808
5.197639,12428.171259
6.939849,12446.871102
7.389026,12462.401613
5.546906,12478.493565
6.880709,12495.82197
5.405682,12512.345626
5.508889,12528.573778
6.656825,12545.595318
5.921647,12561.887952
6.360873,12578.308595
7.058704,12596.022078
8.857397,12612.782387
6.119099,12628.097207
22.729448,12661.659428
6.281156,12679.233895
7.330015,12695.32031
7.304606,12713.279824
22.669028,12744.649024
7.01659,12762.995888
6.25805,12779.215014
7.127284,12795.074665
6.760351,12813.78318
8.534019,12830.48387
5.758406,12846.766936
6.063223,12862.018328
6.828643,12878.804271
5.553178,12895.510753
6.999405,12912.999584
7.926145,12929.941024
6.049815,12946.026095
4.79944,12961.757866
5.89579,12979.889357
21.743823,13011.716375
5.68317,13029.669872
7.299229,13046.294654
5.76967,13062.102013
4.980442,13078.956984
6.891878,13097.847142
7.312029,13113.36402
6.266146,13129.241972
6.107576,13146.145421
7.827609,13163.99574
6.612277,13180.578532
5.847306,13196.806583
5.282762,13213.38147
8.205583,13231.201356
6.688665,13246.667924
8.538145,13263.50513
4.942007,13278.994036
5.553785,13295.534233
7.897309,13312.975057
3.790262,13328.795694
5.847562,13345.846256
4.955191,13361.98947
8.056903,13380.094332
4.427385,13396.536859
6.123258,13413.09789
5.003258,13428.999203
5.548281,13446.539456
11.259131,13462.381566
5.005882,13479.015144
8.904982,13497.924659
8.598085,13514.612449
9.099522,13530.123628
7.734068,13546.71698
5.431955,13562.414026
6.960648,13579.943142
4.93327,13596.175866
4.367478,13612.427151
5.87374,13630.872384
5.830441,13647.819548
6.853347,13663.881574
6.808096,13679.842314
7.374976,13698.396193
5.251528,13713.256679
6.456204,13731.456874
6.955272,13748.029361
8.633639,13765.66322
6.781758,13781.779265
5.675392,13797.700643
7.812249,13813.943896
7.740981,13829.796662
7.571115,13847.595138
4.21083,13863.242165
7.220535,13879.239579
6.66892,13896.695828
6.564083,13913.652241
6.395465,13929.568755
4.993338,13946.023283
6.566066,13962.567032
6.689369,13979.704383
7.142803,13997.22566
7.539273,14013.563189
5.733123,14029.765479
6.67116,14047.700699
4.866323,14062.95516
4.955,14080.00969
7.963809,14100.013954
4.606883,14113.614625
8.25496,14133.332949
5.422353,14147.487984
6.593875,14163.664221
6.610035,14180.679993
7.146386,14197.210138
6.167194,14213.212413
7.328924,14231.361305
8.898708,14248.912851
24.358617,14279.459112
7.823223,14296.873466
7.800183,14314.853389
6.106967,14330.142824
5.586233,14347.62787
5.191811,14363.46284
6.18118,14380.232135
5.1825,14398.259292
6.148378,14414.264191
6.487277,14430.546866
5.104095,14447.240348
7.83564,14464.934462
7.68712,14480.822011
6.588531,14497.652909
7.346364,14515.392433
8.781549,14531.851918
8.36447,14549.457387
7.199669,14565.288837
5.540792,14580.584385
5.506038,14597.562651
6.15673,14614.226275
7.095567,14632.21583
4.994841,14647.044055
6.883747,14663.985839
5.278089,14680.319205
7.344445,14697.446183
7.161491,14714.237495
8.16001,14732.24225
8.270961,14749.351468
5.953007,14765.082304
8.813583,14782.893544
5.759299,14797.84232
5.421905,14813.596774
6.249855,14831.400718
8.034052,14849.283803
9.242792,14865.318496
5.530999,14880.611739
8.370614,14897.486895
5.095486,14914.162424
8.383255,14932.469789
7.103599,14948.22517
7.678991,14965.771276
5.19418,14981.263507
8.262992,14998.360019
6.027123,15015.114593
6.72153,15030.791826
8.651654,15048.739778
6.788477,15064.910223
6.610195,15081.801636
5.833928,15097.922606
5.574616,15114.655513
6.571248,15130.662937
7.200179,15147.274395
7.127823,15165.266922
6.787612,15180.910069
5.841223,15197.916909
5.527926,15214.671863
4.187723,15230.320803
7.293304,15249.450833
8.027298,15265.200163
7.597641,15281.698686
6.713752,15297.902985
8.101414,15316.212298
7.551175,15331.743311
7.437056,15348.544603
7.463905,15364.660673
6.545742,15381.736477
7.196371,15399.33647
7.11211,15415.236944
9.443664,15432.550745
6.010704,15448.116704
8.682598,15466.790678
6.709431,15482.902523
6.240605,15499.698727
8.840367,15516.960974
5.161057,15531.280431
8.827886,15547.967157
8.367892,15565.501034
7.058347,15582.151278
6.756347,15598.883031
6.704407,15615.862349
6.832702,15632.936136
21.692831,15663.831114
6.844159,15681.999266
6.834334,15698.986457
7.119887,15716.275457
6.4178,15732.533071
6.133559,15749.2806
5.42776,15765.577
7.926108,15783.096125
24.129062,15814.268909
5.520085,15831.674555
7.835574,15848.989476
6.961349,15865.154829
6.419272,15881.603654
7.745074,15898.882221
5.818534,15914.978002
7.547334,15932.67512
7.138095,15950.296682
5.446832,15965.593634
7.721616,15982.885642
7.776691,15999.968998
6.404486,16016.562151
7.703311,16032.857815
6.652276,16048.829909
7.297145,16066.439535
6.903426,16083.108947
5.96043,16099.085714
6.107637,16115.262298
4.695493,16131.492866
5.699678,16148.847626
6.811964,16165.947171
7.856758,16182.011811
5.929739,16198.068674
7.057001,16216.222678
8.188137,16232.324376
4.822765,16247.97008
7.285686,16265.457231
6.695958,16281.902404
5.671036,16298.83906
6.895585,16315.033147
6.267582,16331.500977
7.845237,16349.997784
7.119213,16365.258443
5.122302,16382.336515
8.779305,16399.942616
5.135518,16415.386965
6.272446,16432.43502
8.147975,16450.320913
18.998147,16481.183241
6.650099,16498.879748
7.987197,16517.173855
20.791111,16547.991605
6.470697,16566.652518
7.529284,16583.683803
6.589039,16598.765444
5.734592,16615.90992
6.88704,16632.096134
8.143878,16649.342983
6.42935,16665.624595
5.71379,16681.877917
5.920746,16699.100253
5.68038,16715.908838
8.195113,16734.392461
4.794507,16750.961128
5.617434,16766.841406
7.849654,16783.062854
5.879912,16801.089491
7.290006,16816.542704
7.224115,16832.427718
6.612528,16849.783725
5.725631,16866.128124
6.041457,16883.337148
6.998502,16899.258643
8.290415,16917.506221
7.622185,16932.834371
6.671028,16949.944509
6.39002,16966.566427
5.454833,16982.640956
5.16992,16999.436036
4.952532,17016.151752
7.725615,17033.929159
7.011175,17050.187697
9.413709,17068.622581
5.546325,17082.735719
6.068498,17100.273177
5.608887,17116.86482
5.626585,17133.840163
6.0476,17149.233882
6.676627,17166.933201
6.19916,17183.507753
5.971276,17199.194992
5.734783,17216.961355
4.147111,17232.360066
6.745302,17249.94485
18.133519,17281.943939
5.646618,17298.864591
6.09077,17316.423454
6.269884,17333.514099
5.226402,17350.462336
7.66753,17367.86439
5.600023,17382.801412
5.886215,17400.152391
6.689395,17416.919754
6.004429,17433.2349
5.722046,17449.98095
5.342281,17466.603441
5.766816,17482.999007
5.330056,17499.572504
5.696541,17515.927524
6.666258,17532.884817
7.117323,17551.333298
5.336424,17566.563999
7.912247,17584.171761
5.833508,17601.142624
6.220281,17616.443825
6.597871,17632.840384
7.670986,17651.988935
7.450718,17668.740777
6.376706,17685.61765
22.433438,17715.718682
5.819683,17733.113919
5.668186,17749.967687
6.121108,17766.434618
4.713637,17782.997105
5.176063,17800.014178
7.342744,17816.630813
5.23149,17834.483292
7.881013,17851.194204
8.670529,17867.908124
6.289117,17884.566073
5.775297,17900.069942
7.142092,17916.425986
22.002533,17949.294787
5.791553,17967.071646
4.993685,17983.235424
8.056959,18000.49139
6.447014,18017.701914
6.448198,18034.699978
4.692484,18050.016732
7.003557,18067.313277
6.941409,18084.202758
5.941194,18101.203702
6.144788,18116.45882
